ID,CATEGORY,LINK,TITLE,BODY,SOURCE,DATE
1,POLITICS,https://myrepublica.nagariknetwork.com/news/prez-deuba-and-acting-prez-khadka-assigned-to-hold-talks-with-gagan-and-bis-40-26.html,Prez Deuba and Acting Prez Khadka assigned to hold talks with Gagan and Bishwakarma: Deuba and Khadka to meet NC General Secretaries Thapa and Sharma to safeguard party unity.,"KATHMANDU, Jan 12: A meeting of the top leaders of the establishment faction of Nepali Congress (NC) has entrusted President Sher Bahadur Deuba and Acting President Purna Bahadur Khadka with the responsibility to directly hold talks with the party’s two General Secretaries Gagan Thapa and Biswo Prakash Sharma.
The talks aim to maintain unity within the party and avoid any divisions, participants of the meeting said. “No one wants the party to split. The President has initiated these discussions to ensure both the party and its vote base remain united,” said a senior leader, who attended the meeting.
Discussions with the General Secretaries are expected to take place soon.",Republica, 
2,POLITICS,https://myrepublica.nagariknetwork.com/news/29-polling-stations-in-palpa-highly-sensitive-56-72.html,"29 polling stations in Palpa 'highly sensitive': According to Chief District Officer Binu Kunwar, 20 polling stations in Constituency No. 1 and nine in Constituency No. 2 are sensitive.","PALPA, Jan 29: The District Security Committee has categorized 29 polling stations in Palpa as highly sensitive.
According to Chief District Officer Binu Kunwar, 20 polling stations in Constituency No. 1 and nine in Constituency No. 2 are sensitive.
A total of 118 polling centres and 251 polling stations have been determined for the district, which has two House of Representatives constituencies
Out of 207,436 total voters in Palpa, 98,383 are in Constituency No. 1, and 109,053 are in Constituency No. 2. The number of new voters to be registered for the March 5 election is 6,110 in the district.
RSS",Republica, 
3,POLITICS,https://myrepublica.nagariknetwork.com/news/sc-upholds-rabi-lamichhanes-custody-in-cooperative-fraud-case-65-63.html,"SC upholds Rabi Lamichhane's custody in cooperative fraud case: The Supreme Court has upheld the Butwal bench of the High Court's decision to remand Rastriya Swatantra Party Chairman and former Home Minister Rabi Lamichhane in custody in connection with the Supreme Cooperative fraud case. With this ruling, Lamichhane will remain in detention until the Rupandehi District Court delivers a final verdict on the case.","KATHMANDU, May 23: The Supreme Court has upheld the Butwal bench of the High Court's decision to remand Rastriya Swatantra Party Chairman and former Home Minister Rabi Lamichhane in custody in connection with the Supreme Cooperative fraud case. With this ruling, Lamichhane will remain in detention until the Rupandehi District Court delivers a final verdict on the case.
A division bench comprising Justices Dr. Nahakul Subedi and Bal Krishna Dhakal dismissed a habeas corpus petition filed by Lamichhane’s wife, Nikita Poudel, which had sought his immediate release from custody.
Following this Supreme Court ruling, Lamichhane will stay in judicial custody until the cooperative fraud case concludes in the district court. He will only be released if the court clears him of the charges. Moreover, he must be exonerated of all other related allegations to secure his release.",Republica, 
4,POLITICS,https://myrepublica.nagariknetwork.com/news/nc-reiterates-demand-for-formation-of-parliamentary-committee-to-probe-cooperative-fraud-case,"NC reiterates demand for formation of parliamentary committee to probe cooperative fraud case: The main opposition party, Nepali Congress, has reiterated its demand to form a parliamentary committee for conducting a fair investigation into cooperative fraud, saying the name of Deputy Prime Minister and Home Minister Rabi Lamichhane is linked to the fraud.","KATHMANDU, April 2: The main opposition party, Nepali Congress, has reiterated its demand to form a parliamentary committee for conducting a fair investigation into cooperative fraud, saying the name of Deputy Prime Minister and Home Minister Rabi Lamichhane is linked to the fraud.
The NC demanded that authority be given to such a committee to carry out investigations into the cooperative fraud case and bring out the truth.
Speaker Devraj Ghimire allotted time to NC lawmaker Ram Krishna Yadav after all the NC lawmakers stood from their respective seats as a protest in today's meeting of the House of Representatives (HoR).
Speaking in the meeting, lawmaker Yadav pointed out the need for a parliamentary probe into the cooperative fraud case, citing that a crisis of trust has surfaced after the investigation against Lamichhane was stopped with reconstitution of the government.
He said Home Minister Lamichhane should resign from the post based on ethics as he had taken a loan of Rs 800 million from a cooperative at a time when he was working at Gorkha Media Pvt Ltd and has still not cleared it.
Lawmaker Yadav also demanded an investigation against Minister for Labor, Employment and Social Security, DP Aryal, as he, too, has been found to be involved in another cooperative case, clarifying his party would not obstruct the House on other issues except the issues connected with the Home Ministry and Cooperative.
Urging the government to seriously pay attention to the issues raised by lawmakers in the House, he urged the government to raise hope among the people by ending impunity, and maintaining rule of law and good governance.
In response, Speaker Ghimire said his and the House's attention had been drawn to the issues raised by lawmaker Yadav.
RSS",Republica, 
5,"POLITICS, Latest Updates",https://myrepublica.nagariknetwork.com/news/in-a-bid-to-save-his-hold-on-power-pm-oli-proposes-ncp-s-general-convention,"In a bid to remain in power, PM Oli proposes general convention by mid-December: Prime Minister K P Oli has proposed holding the party's general convention of the Nepal Communist Party (NCP) by mid-December.","KATHMANDU, July 19: Prime Minister K P Oli has proposed holding the ruling Nepal Communist Party (NCP)’s general convention by mid-December.
He made the proposal during a meeting of the party’s Secretariat on Saturday, PM Oli is under tremendous pressure from the rival factions led by Chairman Pushpa Kamal Dahal and senior leader Madhav Kumar Nepal to step down from the post of both prime minister and party chairman.
The 'unity' convention of the ruling NCP has not taken place after the erstwhile CPN-UML led by Oli and CPN (Maoist Center) led by Dahal merged to form a new party - NCP ahead of the general elections in 2017.
Although a majority of the nine-member NCP Secretariat have supported Prime Minister's Oli's proposal, senior leaders Nepal and Jhala Nath Khanal have expressed doubt over the possibility of holding the general convention by mid-December as the Coronavirus (COVID-19) pandemic is set to severely affect the preparation for holding the convention.
NCP insiders said the new proposal could allow PM Oli to hold on to power as Chairman Dahal is positive about the prime minister's proposal. Senior leader Nepal, however, has grown suspicious of the 'hidden' deal between PM Oli and Chairman Dahal.
Shortly after the Standing Committee meeting on Saturday, both PM Oli and Chairman Dahal met the president in Shital Niwas to apprise her of the agreement reached at the Secretariat meeting. Many have described the meeting with the president as a 'witness' to the duo’s agreement as Dahal had earlier complained in public that PM Oli was not honoring the promises made in the past.
A meeting of the Standing Committee that was deferred repeatedly is scheduled for today. The meeting is also expected to hold discussions about the general convention and ways to resolve the deepening intra-party dispute.",Republica, 
6,POLITICS,https://myrepublica.nagariknetwork.com/news/dahal-s-race-to-become-pm-again-is-a-matter-of-shame-for-democracy-uml-secy-general-pokhare,Dahal’s race to become PM again is a matter of shame for democracy: UML General Secretary Pokharel: CPN-UML General Secretary Shankar Pokharel has claimed that CPN (Maoist Center) Chairman Pushpa Kamal Dahal is running abroad  to become the prime minister again.,"KATHMANDU, July 21: CPN-UML General Secretary Shankar Pokharel has claimed that CPN (Maoist Center) Chairman Pushpa Kamal Dahal is running abroad to become the prime minister again.
General Secretary Pokharel also said that Chairman Dahal, who could not even influence 12 percent of the public opinion, trying to become the prime minister again is a matter of shame for democracy.
Speaking at an interaction program with the editors of the online news media held in Kathmandu on Wednesday, Pokharel argued that it is not a democratic practice to lead the nation even after losing public trust.
General Secretary Pokharel accused the government of attacking Governor Mahaprasad Adhikari after their efforts to whiten black money failed. He also objected that the government is trying to remove the governor by misrepresenting him as a member of a Department of UML.
Secretary General Pokharel also expressed concern that if Governor Adhikari is removed from that position, the country could face the fate of Sri Lanka. He argued that Adhikari had helped to save the country’s economy by adopting pragmatic economic policies.",Republica, 
7,"POLITICS, Latest Updates",https://myrepublica.nagariknetwork.com/news/media-council-bill-consensus-to-dislodge-provision-on-punishment,Media Council Bill: Consensus to dislodge provision on punishment: Members of the Legislation Management Committee of the National Assembly have agreed to remove the provision relating to punishment in the proposed Nepal Media Council Bill.,"KATHMANDU, Jan 20: Members of the Legislation Management Committee of the National Assembly have agreed to remove the provision relating to punishment in the proposed Nepal Media Council Bill.
The lawmakers made such agreement during clause-wise discussions over the bill today. Committee Chair Parshuram Meghi Gurung told RSS that the Council is a regulatory body and it will oversee whether or not the code of conduct was implemented, not the matter of punishment.
""The provision of punishment proposed in the bill has been removed,"" he confirmed.
Conducting monitoring and assessment of the media houses, making them aware, scrapping the certificate and removing them from the registration list would be given to the council adding that discussions are ongoing to ensure provision to advance remedial process from other Acts in case of huge loss.
The committee is in the final stage to prepare its report by incorporating the comments from those proposing amendments and the government.
Earlier, the officials of the Ministry of Communication and Information Technology had asked the National Assembly members not to construe the issue in a different way since the Bill was unveiled aiming at making the press responsible and accountable.
Secretary at the Ministry Dipak Subedi said that the bill was brought with the move to make not only the editors and reporters accountable but also the concerned media house.",Republica, 
8,POLITICS,https://myrepublica.nagariknetwork.com/news/it-is-not-for-me-to-decide-my-ministerial-portfolio-maoist-center-vp-shrestha,It is not for me to decide my ministerial portfolio: Maoist Center VP Shrestha: Deputy Prime Minister and Physical Infrastructure Minister Narayankaji Shrestha has indicated that his ministerial portfolio may be changed.,"KATHMANDU, March 27: Deputy Prime Minister and Physical Infrastructure Minister Narayankaji Shrestha has indicated that his ministerial portfolio may be changed.
Organizing a press conference at his ministry on Monday, DPM Shrestha gave details of the works he accomplished after assuming his office. Asked if his ministerial portfolio is being changed in the cabinet expansion process, Shrestha said that it would not be according to his wishes and that he would accept the decision of Prime Minister Pushpa Kamal Dahal.
There are rumors that Shrestha will be the new home minister along with the portfolio of deputy prime minister. Stating that the cabinet will be given full shape soon, he said, “It is not for me to decide what I will do, but I will work as per the decision and instructions of the Prime Minister.”
Shrestha said that he will follow what is appropriate for the Prime Minister to make the work of the government effective.",Republica, 
9,POLITICS,https://myrepublica.nagariknetwork.com/news/construction-of-trans-himalayan-railway-govt-s-top-priority-pm-oli,"Construction of trans-Himalayan railway govt's top priority: PM Oli: Prime Minister K P Sharma Oli on Tuesday reached Beijing on a six-day official visit to China, leading a 119-member Nepali delegation.","KATHMANDU, June 20: Prime Minister K P Sharma Oli on Tuesday reached Beijing on a six-day official visit to China, leading a 119-member Nepali delegation.
Prime Minister Oli attended a reception organized by Embassy of Nepal in Beijing on Tuesday evening. Addressing the function, Prime Minister Oli said that the construction of trans-Himalayan railway and other means of transportation will be expedited by his government.
The prime minister said that the present government has given high priority to developing transport network within and across the border.
“I believe railway connectivity, in particular, is of vital importance to a landlocked country in order to reduce transport transit costs as well as to diversify international trade and transport and promote tourism and service sectors of the country,” he said.
Recalling that Nepal and China agreed in principle to develop the cross-border railway network across the Himalayas during his last visit to China in March, 2016, Prime Minister Oli said that Nepal is committed to taking forward this important initiative further and develop cross-border railway infrastructure to mark a new era in Nepal-China friendship and bilateral cooperation.
“In addition to railways, Nepal and China are also committed to developing multi-dimensional connectivity networks of roadways, airways, communications and energy,” he further said.
Prime Minister Oli was of the opinion that enhanced transport connectivity between the two countries will inject Nepal's economy with enormous vitality in the regional economy by connecting Nepal's economy with that of China.
“There is no doubt that efficient transport connectivity network will put Nepal in the global value chain of production and distribution,” he further said.
In the function attended by South Asian experts, entrepreneurs, businesspersons and Nepali nationals residing in Beijing, Prime Minister Oli said that tourism, culture, trade, investment, agriculture, industries, technology transfer, unlocking human potentials, natural resources and environment are important pillars of Nepal-China relations.
On Wednesday, Prime Minister Oli is scheduled to hold interaction with the business community in China and hold high-level meetings. On Thursday, Prime Minister Oli will inaugurate Nepal-China Friendship Walk in Beijing to promote tourism in Nepal. He will also hold bilateral talks with his Chinese counterpart Li Keqiang on the same day.
After holding meeting with Chinese President Xi Jinping and chairman of China-led Asian Infrastructure Development Bank (AIIB), Prime Minister Oli will leave Beijing for Lhasa, where he will observe China's development initiatives and also meet provincial leaders. Oli is scheduled to return home on June 24.
Nepal and China are scheduled to sign at least eight agreements or memorandum of understandings (MoUs). The agreements finalized for signing include five agreements at the government level and three others at the level of private sector.
In his briefings to the parliament on Monday, Prime Minister Oli said the main objective of his six-day visit is to further expand and strengthen bilateral cooperation between the two countries. He said that the bilateral agreements and understandings that Nepal will reach with China during his visit will be in line with Nepal's national needs, keeping national dignity and sovereignty of the country at the center.
Box
Deputy Prime Minister Ishwar Pokharel has been appointed as the officiating prime minister of Nepal.
Prime Minister KP Sharma Oli has given the responsibility of the officiating prime minister to DPM Pokharel, who also holds the defense ministry portfolio, before leaving for Beijing on Tuesday.
Similarly, Oli has appointed party's senior leader Madhav Kumar Nepal as the officiating chairman of CPN, according to CPN central committee member Bishnu Rijal. Currently, another chairman of CPN Pushpa Kamal Dahal is in Singapore for the treatment of his spouse.
Deputy parliamentary party leader of CPN Subas Chandra Nembang, likewise, has got the responsibility of officiating parliamentary party leader in the absence of parliamentary party leader and PM Oli.",Republica, 
10,"POLITICS, Latest Updates",https://myrepublica.nagariknetwork.com/news/supreme-court-will-correct-its-decision-to-scrap-ncp-bidari,"Supreme Court will correct its decision to scrap NCP: Bidari: A key leader of the CPN (Maoist Center) and a member of the National Assembly (NA), Ram Narayan Bidari has said that the Supreme Court will correct its March 7 verdict through which it scrapped the erstwhile ruling Nepal Communist Party (NCP).","KATHMANDU, March 23: A key leader of the CPN (Maoist Center) and a member of the National Assembly (NA), Ram Narayan Bidari has said that the Supreme Court will correct its March 7 verdict through which it scrapped the erstwhile ruling Nepal Communist Party (NCP).
During an interaction organized by the CPN (MC) on Tuesday, Bidari, who is also a senior advocate, said that the Supreme Court verdict was liable for a review. The CPN (MC), which was revived by the same verdict, held a discussion with legal eagles during its standing committee meeting amid the changed context.
Speaking to media persons shortly after the meeting, Bidari said that the apex court’s March 7 verdict is suitable for a review like the cases of Ranjan Koirala and Lokman Singh Karki.
“We [legal experts] advised the party to go for a review of the verdict as this is apposite and is the only solution to the problem,” he briefed about today’s meeting. He took time to present the examples of Koirala, Karki and Prerana Shah among others and claimed that the dismissal of the merger of the CPN-UML and CPN (MC) to NCP is appropriate to be reviewed.
According to Bidari, the court issued an order which even the petitioner had not demanded. “It looks as if the verdict was directed from somewhere else. Therefore, we agreed on a review.”
Responding to the petition filed by Rishi Kattel, the top court scrapped the ruling NCP as its name clashed with Kattel’s party. The order also overturned the merger between two communist parties and revived them.",Republica, 
